Period,Event,NGRIP depth (m),Age (a b2k) and definition uncertainty,Maximum counting error (years),Notes and comments,reference
GS-3,Start of GS-3,1861.69,"27,540b",822,"7, 8","Rasmussen et al. 2014, 9 tab. 2."
GI-3,Start of GI-3,1869.12,"27,780a",832,"7, 8, 9","Rasmussen et al. 2014, 9 tab. 2."
GS-4,Start of GS-4,1882.62,"28,600a",887,"7, 8","Rasmussen et al. 2014, 9 tab. 2."
GI-4,Start of GI-4,1891.57,"28,900a",898,"7, 8, 9","Rasmussen et al. 2014, 9 tab. 2."
GS-5.1,Start of GS-5.1,1916.08,"30,600b",1008,"8, 13","Rasmussen et al. 2014, 9 tab. 2."
GI-5.1,Start of GI-5.1,1920.56,"30,840b",1024,"8, 13","Rasmussen et al. 2014, 9 tab. 2."
GS-5.2,Start of GS-5.2,1939.68,"32,040b",1107,"8, 11","Rasmussen et al. 2014, 9 tab. 2."
GI-5.2,Start of GI-5.2,1951.65,"32,500a",1132,"8, 9","Rasmussen et al. 2014, 9 tab. 2."
GS-6,Start of GS-6,1964.3,"33,360b",1191,"8, 11","Rasmussen et al. 2014, 9 tab. 2."
GI-6,Start of GI-6,1974.55,"33,740a",1212,"8, 9","Rasmussen et al. 2014, 9 tab. 2."
GS-7,Start of GS-7,1990.28,"34,740b",1286,"8, 11","Rasmussen et al. 2014, 9 tab. 2."
GI-7,Start of GI-7b,1997.04,"35,020b ",1299,"8, 13","Rasmussen et al. 2014, 9 tab. 2."
GS-8,Start of GS-8,2026.66,"36,580b",1397,"8, 11","Rasmussen et al. 2014, 9 tab. 2."
GI-8,Start of GI-8b,2038.23," 37,120b ",1417,"8, 13","Rasmussen et al. 2014, 9 tab. 2."
GS-9,Start of GS-9,2094.64,"39,900b",1569,"8, 11","Rasmussen et al. 2014, 9 tab. 2."
GI-9,Start of GI-9,2099.61,"40,160a",1580,"8, 9","Rasmussen et al. 2014, 9 tab. 2."
