X1,X2,X3,X4,X5,X6,X7,X8
-10,55,-10,52.5,15,2,649,568
-10,55,-10,52.5,15,7,649,568
-10,55,-10,52.5,15,14,649,568
-10,55,-7.5,52.5,16,2,649,573
-10,55,-7.5,52.5,16,7,649,573
-10,55,-7.5,52.5,16,14,649,573
-5,45,-2.5,42.5,52,2,335,259
-5,45,-2.5,42.5,52,7,335,259
-5,45,-2.5,42.5,52,14,335,259
-5,45,-2.5,42.5,52,21,335,259
-5,45,-2.5,42.5,52,28,335,259
-2.5,45,-2.5,42.5,52,2,340,259
-2.5,45,-2.5,42.5,52,7,340,259
-2.5,45,-2.5,42.5,52,14,340,259
-2.5,45,-2.5,42.5,52,21,340,259
-2.5,45,-2.5,42.5,52,28,340,259
-2.5,45,0,42.5,90,2,340,264
-2.5,45,0,42.5,90,7,340,264
-2.5,45,0,42.5,90,14,340,264
-2.5,45,0,42.5,90,21,340,264
-2.5,45,0,42.5,90,28,340,264
0,45,0,42.5,37,2,345,264
0,45,0,42.5,37,7,345,264
0,45,0,42.5,37,14,345,264
0,45,0,42.5,37,21,345,264
0,45,0,42.5,37,28,345,264
0,47.5,2.5,45,6,2,426,350
2.5,47.5,2.5,45,3,2,431,350
7.5,50,10,47.5,14,2,522,446
7.5,50,10,47.5,14,7,522,446
7.5,50,10,47.5,14,14,522,446
10,50,10,47.5,9,2,527,446
10,50,10,47.5,9,7,527,446
10,50,12.5,47.5,11,2,527,451
10,50,12.5,47.5,11,7,527,451
17.5,45,20,42.5,10,2,380,304
17.5,45,20,42.5,10,7,380,304
20,45,20,42.5,10,2,385,304
20,45,20,42.5,10,7,385,304
20,45,22.5,42.5,2,2,385,309
22.5,47.5,25,45,3,2,471,395
27.5,40,30,37.5,17,2,238,162
27.5,40,30,37.5,17,7,238,162
27.5,40,30,37.5,17,14,238,162
30,42.5,27.5,40,46,2,324,238
30,42.5,27.5,40,46,7,324,238
30,42.5,27.5,40,46,14,324,238
30,42.5,27.5,40,46,21,324,238
30,42.5,27.5,40,46,28,324,238
30,42.5,30,40,79,2,324,243
30,42.5,30,40,79,7,324,243
30,42.5,30,40,79,14,324,243
30,42.5,30,40,79,21,324,243
30,42.5,30,40,79,28,324,243
