"NGRIPv2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"35","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","1","1","122","96","132","141","106","139","100","86","26","1","86","101","109","64","1"
"End veg. day","365","365","297","356","286","284","311","287","315","333","365","365","365","365","333","365","365"
"Veg. sum days","364","364","175","260","154","143","205","148","215","247","339","364","279","264","224","301","364"
"Sum of temperature","3883.55","3998.11","2044.61","2788","1765.47","1676.85","2805.36","1868.49","3030.33","3353.34","3440.86","3345.29","3360.65","3211.99","3074.91","3824.64","4363.73"
"","","","","","","","","","","","","","","","","",""
"37.5","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","1","121","130","152","92","1","96","105","106","107","122","106","105","131","109","113","150"
"End veg. day","365","296","293","264","365","365","365","364","332","334","303","334","334","290","316","310","271"
"Veg. sum days","364","175","163","112","273","364","269","259","226","227","181","228","229","159","207","197","121"
"Sum of temperature","3292.88","2132.97","1997.89","930.05","3057.09","3061.89","3034.6","2967.59","2738.03","2766.28","2292.88","2801.79","2884","1947.73","3215.62","2699.1","1285.12"
"","","","","","","","","","","","","","","","","",""
"40","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","117","138","152","155","130","118","119","120","122","120","121","120","131","123","118","124","151"
"End veg. day","365","284","271","251","289","332","330","330","311","328","309","303","289","291","314","294","266"
"Veg. sum days","248","146","119","96","159","214","211","210","189","208","188","183","158","168","196","170","115"
"Sum of temperature","2301.16","1454.95","1183.84","860.4","1778.04","2482.37","2461.04","2412.54","2145.3","2359.51","2243.87","2515.12","1895.85","2405.01","2693.53","2291.59","1175.41"
"","","","","","","","","","","","","","","","","",""
"42.5","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","128","159","166","160","Inf","151","127","122","125","145","124","127","156","150","148","133","134"
"End veg. day","351","250","244","249","-Inf","268","292","303","294","268","294","300","261","263","267","290","301"
"Veg. sum days","223","91","78","89","-Inf","117","165","181","169","123","170","173","105","113","119","157","167"
"Sum of temperature","1955.69","736.05","521.45","661.97","0","1121.11","1863.71","1970.3","1939.58","1292.57","2079.73","2017.91","885.81","1165.66","1357.17","2034.94","2081.25"
"","","","","","","","","","","","","","","","","",""
"45","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","144","144","139","137","138","162","152","163","139","130","139","136","132","145","150","135","134"
"End veg. day","298","294","292","287","271","247","253","247","268","282","268","268","269","267","263","275","286"
"Veg. sum days","154","150","153","150","133","85","101","84","129","152","129","132","137","122","113","140","152"
"Sum of temperature","1333.77","1328.88","1407.7","1478.51","1347.11","593.46","900.83","633.88","1363.6","1805.77","1511.36","1639.58","1735.98","1418.56","1245.08","1936.77","2151.16"
"","","","","","","","","","","","","","","","","",""
"47.5","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","152","152","145","139","139","139","145","152","Inf","Inf","152","141","140","145","174","149","147"
"End veg. day","288","285","272","270","269","268","252","250","-Inf","-Inf","228","266","267","266","231","265","266"
"Veg. sum days","136","133","127","131","130","129","107","98","-Inf","-Inf","76","125","127","121","57","116","119"
"Sum of temperature","1106.2","1098.45","1131.91","1281.2","1323.22","1286.29","931.55","758.39","0","0","571.97","1497.41","1600.82","1435.46","391.17","1412.61","1581.17"
"","","","","","","","","","","","","","","","","",""
"50","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","152","152","152","152","140","140","144","145","146","152","152","152","152","152","152","152","152"
"End veg. day","269","270","250","251","253","252","251","251","251","239","250","240","248","249","257","257","258"
"Veg. sum days","117","118","98","99","113","112","107","106","105","87","98","88","96","97","105","105","106"
"Sum of temperature","920.05","888.46","777.02","869.75","1056.85","1052.16","963.25","956.88","952.69","631.93","884.44","741.17","883.91","943.68","1064.65","1100.15","1164.76"
"","","","","","","","","","","","","","","","","",""
"52.5","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","Inf","Inf","Inf","Inf","163","153","152","152","162","Inf","Inf","Inf","Inf","188","178","171","166"
"End veg. day","-Inf","-Inf","-Inf","-Inf","196","241","249","249","235","-Inf","-Inf","-Inf","-Inf","230","233","235","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","33","88","97","97","73","-Inf","-Inf","-Inf","-Inf","42","55","64","80"
"Sum of temperature","0","0","0","0","165.76","674.11","836.08","829.45","548.15","0","0","0","0","285.18","435.07","567.01","742.11"
"","","","","","","","","","","","","","","","","",""
"55","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","162","157","175","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","217","222","217","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","55","65","42","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","359.66","471.59","242.4","0","0","0","0","0","0","0","0","0"
